market_date,checkpoint,horizon_minutes,decision_timestamp,dataset_layer,resolved_winner,favorite_bucket,favorite_bucket_index,favorite_market_q_raw,favorite_model_p,favorite_raw_edge,lower_neighbor_bucket,lower_neighbor_market_q_raw,lower_neighbor_model_p,lower_neighbor_raw_edge,upper_neighbor_bucket,upper_neighbor_market_q_raw,upper_neighbor_model_p,upper_neighbor_raw_edge,strategy_variant,selected_neighbor_side,selected_buckets,selected_bucket_indices,number_of_buckets,basket_model_p,basket_market_q_raw,execution_stress,basket_stressed_cost,basket_raw_edge,basket_stressed_edge,won,payout,stressed_pnl,ROI,five_share_cost,five_share_pnl,month,temporal_block,model_probability_sum_11,market_q_sum_11,spot,spot_bucket_index,spot_inside_favorite,spot_inside_selected_neighbor,spot_inside_basket,spot_position,favorite_location,selection_uses_winner
2026-01-15,T-60,60,2026-01-15T16:00:00+00:00,historical_validation_visible,"96,000-98,000","96,000-98,000",8,0.7705000042915344,0.8843882520060992,0.11388824771456474,"94,000-96,000",0.20499999821186066,0.1156117479939008,-0.08938825021795986,"98,000-100,000",0.020500000566244125,0.0,-0.020500000566244125,Candidate B,none,"96,000-98,000",8,1,0.8843882520060992,0.7705000042915344,0.03,0.8005000042915345,0.11388824771456474,0.08388824771456471,True,1.0,0.19949999570846555,0.24921923127911635,4.0025000214576725,0.9974999785423277,2026-01,1,1.0,1.019500004069414,96737.04,8,True,False,True,spot_inside_favorite,central,False
2026-01-16,T-60,60,2026-01-16T16:00:00+00:00,historical_validation_visible,"94,000-96,000","94,000-96,000",7,0.9150000214576721,0.8824788248257165,-0.03252119663195563,"92,000-94,000",0.08299999684095383,0.11752117517428355,0.034521178333329725,"96,000-98,000",0.020999999716877937,0.0,-0.020999999716877937,Candidate B,none,"92,000-94,000",6,1,0.11752117517428355,0.08299999684095383,0.03,0.11299999684095383,0.034521178333329725,0.004521178333329726,False,0.0,-0.11299999684095383,-1.0,0.5649999842047692,-0.5649999842047692,2026-01,1,1.0,1.0245000182767399,94585.98,7,True,False,False,spot_inside_favorite,central,False
2026-01-17,T-60,60,2026-01-17T16:00:00+00:00,historical_validation_visible,"94,000-96,000","94,000-96,000",7,0.9664999842643738,1.0,0.03350001573562622,"92,000-94,000",0.003000000026077032,0.0,-0.003000000026077032,"96,000-98,000",0.02800000086426735,0.0,-0.02800000086426735,Candidate B,none,"94,000-96,000",7,1,1.0,0.9664999842643738,0.03,0.9964999842643738,0.03350001573562622,0.003500015735626194,True,1.0,0.003500015735626194,0.0035123088719463858,4.982499921321869,0.01750007867813097,2026-01,1,1.0,1.0034999852650799,95573.64,7,True,False,True,spot_inside_favorite,central,False
2026-01-20,T-60,60,2026-01-20T16:00:00+00:00,historical_validation_visible,"90,000-92,000","90,000-92,000",4,0.8669999837875366,0.8934878176696577,0.02648783388212106,"88,000-90,000",0.12549999356269836,0.10651218233034229,-0.018987811232356072,"92,000-94,000",0.017999999225139618,0.0,-0.017999999225139618,Candidate B,none,"90,000-92,000",4,1,0.8934878176696577,0.8669999837875366,0.03,0.8969999837875366,0.02648783388212106,-0.0035121661178789676,True,1.0,0.10300001621246335,0.11482722193321682,4.4849999189376835,0.5150000810623168,2026-01,1,1.0,1.0174999766750261,90684.95,4,True,False,True,spot_inside_favorite,central,False
2026-01-21,T-60,60,2026-01-21T16:00:00+00:00,historical_validation_visible,"<88,000","90,000-92,000",2,0.7350000143051147,0.6754182730714839,-0.0595817412336308,"88,000-90,000",0.24650000035762787,0.3245817269285161,0.07808172657088824,"92,000-94,000",0.00800000037997961,0.0,-0.00800000037997961,Candidate B,none,"88,000-90,000",1,1,0.3245817269285161,0.24650000035762787,0.03,0.2765000003576279,0.07808172657088824,0.04808172657088822,False,0.0,-0.2765000003576279,-1.0,1.3825000017881395,-1.3825000017881395,2026-01,1,1.0,1.0015000156708993,90288.04,2,True,False,False,spot_inside_favorite,central,False
2026-01-22,T-60,60,2026-01-22T16:00:00+00:00,historical_validation_visible,"88,000-90,000","88,000-90,000",1,0.8730000257492065,1.0,0.12699997425079346,"<88,000",0.061000000685453415,0.0,-0.061000000685453415,"90,000-92,000",0.06849999725818634,0.0,-0.06849999725818634,Candidate B,none,"88,000-90,000",1,1,1.0,0.8730000257492065,0.03,0.9030000257492066,0.12699997425079346,0.09699997425079343,True,1.0,0.09699997425079343,0.10741968049260453,4.515000128746033,0.48499987125396715,2026-01,1,1.0,1.0095000239671208,89000.01,1,True,False,True,spot_inside_favorite,lower_two,False
2026-01-23,T-60,60,2026-01-23T16:00:00+00:00,historical_validation_visible,"90,000-92,000","88,000-90,000",2,0.7649999856948853,0.679501661124849,-0.08549832457003625,"86,000-88,000",0.004999999888241291,0.0,-0.004999999888241291,"90,000-92,000",0.23499999940395355,0.320498338875151,0.08549833947119745,Candidate B,none,"90,000-92,000",3,1,0.320498338875151,0.23499999940395355,0.03,0.2649999994039536,0.08549833947119745,0.05549833947119742,True,1.0,0.7350000005960464,2.7735849141480444,1.324999997019768,3.675000002980232,2026-01,1,1.0,1.0119999852613546,89761.61,2,True,False,False,spot_inside_favorite,central,False
2026-01-27,T-30,30,2026-01-27T16:30:00+00:00,historical_validation_visible,"88,000-90,000","88,000-90,000",4,0.8450000286102295,0.8990961307032983,0.05409610209306881,"86,000-88,000",0.15000000596046448,0.10090386929670168,-0.04909613666376279,"90,000-92,000",0.006000000052154064,0.0,-0.006000000052154064,Candidate B,none,"88,000-90,000",4,1,0.8990961307032983,0.8450000286102295,0.03,0.8750000286102295,0.05409610209306881,0.024096102093068783,True,1.0,0.12499997138977048,0.14285710548868102,4.375000143051148,0.6249998569488524,2026-01,1,1.0,1.0060000348021276,88372.9,4,True,False,True,spot_inside_favorite,central,False
2026-01-28,T-60,60,2026-01-28T16:00:00+00:00,historical_validation_visible,"88,000-90,000","88,000-90,000",6,0.8500000238418579,0.8830277814021872,0.033027757560329274,"86,000-88,000",0.008999999612569809,0.0,-0.008999999612569809,"90,000-92,000",0.13500000536441803,0.11697221859781282,-0.018027786766605214,Candidate B,none,"88,000-90,000",6,1,0.8830277814021872,0.8500000238418579,0.03,0.8800000238418579,0.033027757560329274,0.0030277575603292473,True,1.0,0.11999997615814206,0.13636360557611404,4.40000011920929,0.5999998807907103,2026-01,1,1.0,1.0115000295336358,89479.66,6,True,False,True,spot_inside_favorite,central,False
2026-01-29,T-60,60,2026-01-29T16:00:00+00:00,historical_validation_visible,"84,000-86,000","84,000-86,000",3,0.809499979019165,0.9319009201169509,0.12240094109778588,"82,000-84,000",0.07800000160932541,0.06809907988304906,-0.009900921726276352,"86,000-88,000",0.05999999865889549,0.0,-0.05999999865889549,Candidate B,none,"84,000-86,000",3,1,0.9319009201169509,0.809499979019165,0.03,0.8394999790191651,0.12240094109778588,0.09240094109778585,True,1.0,0.16050002098083493,0.19118525907333092,4.1974998950958256,0.8025001049041747,2026-01,1,1.0,0.9659999797004275,84934.02,3,True,False,True,spot_inside_favorite,central,False
